RBD,NOM_RBD,NOM_COM_RBD,RURAL_RBD,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT
26267,ESCUELA ESP. RUCA RAYEN,LA REINA,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44
26268,COLEGIO SAINT LOUIS SCHOOL,MAIPÚ,0,39,1607,1,44,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1739
26269,COLEGIO ALTO DEL VALLE,BUIN,0,52,2033,0,0,2,59,1,44,1,44,0,0,1,44,1,44,1,44,0,0,2,88,0,0,0,0,0,0,0,0,61,2400
26270,ESCUELA ESP. ARCOIRIS DE BUIN,BUIN,0,5,220,1,10,1,30,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,348
26271,ESCUELA BAS. VALLE VERDE,COLINA,0,14,488,1,44,1,44,1,44,2,82,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,746
26272,COLEGIO WESTON ACADEMY,QUILICURA,0,31,1228,1,44,1,44,1,44,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,35,1404
26273,ESCUELA ESP. MONTE CARMELO DE MAIPU,MAIPÚ,0,11,459,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,503
26274,ESCUELA BAS. REINA NORTE,COLINA,0,28,987,1,44,1,44,1,44,1,44,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1251
26275,ESCUELA ESPECIAL KITARI,LAMPA,0,3,132,0,0,0,0,1,44,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,198
26276,ESCUELA ESP. NIÑO JESUS DE SAN JOAQUIN,SAN JOAQUÍN,0,7,308,0,0,0,0,1,44,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,440
26278,ESCUELA BASICA ARISTA VITAE,LA CISTERNA,0,8,299,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,343
