AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;N_ASIS;N_HOMBRES;N_MUJERES;N_PROF;N_PARA;N_AUX;N_ADMIN;N_TEC;N_SIN_DATO;JORN_PROF;JORN_PARA;JORN_AUX;JORN_ADMIN;JORN_TEC;JORN_SIN_DATO;TOT_JORN
2023;25459;2;ESC. ESP. PART. PABLO NERUDA;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;1;8;2;6;1;3;4;0;0;0;32;132;176;0;0;0;340
2023;25460;6;ESC. ESP. PART. LA PAMPA;13;RM;131;13103;CERRO NAVIA;134;SANTIAGO PONIENTE;3;2;0;1;2;1;1;1;1;0;0;0;0;12;25;0;0;0;0;37
2023;25461;4;ESCUELA ESPECIAL PART. NINOS DE LA REINA;13;RM;131;13113;LA REINA;133;SANTIAGO ORIENTE;3;2;0;1;5;0;5;2;2;1;0;0;0;88;88;44;0;0;0;220
2023;25462;2;COLEGIO ALTO GABRIELA;13;RM;131;13112;LA PINTANA;136;CORDILLERA;3;2;0;1;27;7;20;8;13;2;4;0;0;254;566;88;176;0;0;1084
2023;25463;0;COLEGIO CTRO. INTEG  ADULTOS ALTAZOL;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;3;2;0;1;5;2;3;2;2;1;0;0;0;66;88;44;0;0;0;198
2023;25464;9;COLEGIO POLIVALENTE AGUSTINIANO DE EL BOSQUE;13;RM;131;13105;EL BOSQUE;132;SANTIAGO SUR;3;2;0;1;52;16;36;10;19;19;3;1;0;429;703;614;132;40;0;1918
2023;25465;7;ESC. BAS. PART.  JERUSALEN;13;RM;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;1;19;0;19;1;13;4;0;1;0;40;413;176;0;40;0;669
2023;25466;5;ESCUELA BÁSICA N°1812 EL PORVENIR;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;1;5;1;4;2;3;0;0;0;0;58;117;0;0;0;0;175
2023;25467;3;ESC. BAS. PART. SAN JUAN LEONARDI;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;1;8;0;8;2;3;2;0;1;0;64;128;88;0;30;0;310
2023;25468;1;ESCUELA BASICA PUERTA DEL SOL DE MAIPU;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;25470;3;ESCUELA DE PARV. ICHUAC;13;RM;131;13102;CERRILLOS;134;SANTIAGO PONIENTE;3;2;0;1;11;4;7;1;8;2;0;0;0;24;172;40;0;0;0;236
2023;25471;1;COLEGIO PART. KING EDWARDS SCHOOL I;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;1;15;2;13;4;5;2;3;1;0;146;164;88;132;44;0;574
2023;25473;8;ESCUELA ESPECIAL PART. GUENIPILLAN - MAIPU;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;1;3;0;3;0;2;0;0;1;0;0;61;0;0;22;0;83
2023;25474;6;ESCUELA BASICA  Nº1817 ANIDA;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;25475;4;COLEGIO PART. PADRE JOSE KENTENICH;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;1;39;9;30;9;13;12;1;4;0;384;516;506;44;166;0;1616
2023;25476;2;ESCUELA DE PARVULOS SANTA VICTORIA CHILDREN;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;25477;0;COLEGIO LA MISION;13;RM;134;13403;CALERA DE TANGO;132;SANTIAGO SUR;4;3;1;1;5;0;5;4;1;0;0;0;0;110;30;0;0;0;0;140
2023;25478;9;COLEGIO  MAYOR DE PEÑALOLEN;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;25479;7;COLEGIO  ANDARES;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
